year,subject,school_code,school_name,group_code,school_type,city,major_name,direction,plan_count,tuition,joint_program,partner_school,remarks
2026,物理,C170,武汉职业技术大学,C17011,公办,武汉,大数据技术,计算机,30,16800,否,,(中外合作办学)(办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,物理,C170,武汉职业技术大学,C17011,公办,武汉,连锁经营与管理,计算机,4,16800,否,,(中外合作办学)(办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,工业机器人技术,电力|财经|建筑|机械,5,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,商务英语,电力|财经|建筑|机械,9,5000,否,,(乡村振兴；外语语种：不限；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,建筑工程技术,电力|财经|建筑|机械,2,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,电气自动化技术,电力|财经|建筑|机械,8,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,医学生物技术,电力|财经|建筑|机械,10,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,食品生物技术,电力|财经|建筑|机械,10,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,智能光电制造技术,电力|财经|建筑|机械,7,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,无人机应用技术,电力|财经|建筑|机械,6,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,应用英语,电力|财经|建筑|机械,9,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,全媒体广告策划与营销,电力|财经|建筑|机械,6,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,商务数据分析与应用,电力|财经|建筑|机械,2,5000,否,,(乡村振兴；办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,建筑消防技术,电力|财经|建筑|机械,2,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,大数据与会计,电力|财经|建筑|机械,3,5000,否,,(乡村振兴；办学地点：光谷东校区)
2026,物理,C170,武汉职业技术大学,C17012,公办,武汉,网络新闻与传播,电力|财经|建筑|机械,6,5000,否,,(乡村振兴；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17013,公办,武汉,生物制药技术,其他,70,5000,是,湖北民族大学,(专本联合培养计划；与湖北民族大学联合培养；办学地点：光谷校区)
2026,物理,C170,武汉职业技术大学,C17014,公办,武汉,软件技术,计算机,150,5000,是,武汉轻工大学,(专本联合培养计划；与武汉轻工大学联合培养；办学地点：第一学年在光谷东校区学习，其余学年在光谷校区学习)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,机械制造及自动化,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,机电一体化技术,机械,12,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,智能控制技术,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,工业机器人技术,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,汽车制造与试验技术,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,新能源汽车技术,机械,15,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,智能网联汽车技术,机械,15,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,汽车检测与维修技术,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17103,公办,襄阳,低空飞行器装备技术,机械,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,畜牧兽医,其他,15,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,动物医学,其他,8,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,现代农业技术,其他,10,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,食品检验检测技术,其他,7,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,园林工程技术,建筑,6,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,农产品加工与质量检测,其他,3,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,设施农业与装备,其他,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17104,公办,襄阳,宠物医疗技术,其他,15,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,人工智能技术应用,计算机|财经|学前教育|建筑|旅游,20,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,大数据技术,计算机|财经|学前教育|建筑|旅游,15,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,计算机应用技术,计算机|财经|学前教育|建筑|旅游,15,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,物联网应用技术,计算机|财经|学前教育|建筑|旅游,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,信息安全技术应用,计算机|财经|学前教育|建筑|旅游,15,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,工业互联网技术,计算机|财经|学前教育|建筑|旅游,5,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,低空智联网技术,计算机|财经|学前教育|建筑|旅游,10,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,特殊教育,计算机|财经|学前教育|建筑|旅游,20,5000,否,,(师范类；办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,学前教育,计算机|财经|学前教育|建筑|旅游,15,5000,否,,(师范类；办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,小学教育,计算机|财经|学前教育|建筑|旅游,15,5000,否,,(师范类；办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,婴幼儿托育服务与管理,计算机|财经|学前教育|建筑|旅游,20,5000,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,大数据与会计,计算机|财经|学前教育|建筑|旅游,10,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,电子商务,计算机|财经|学前教育|建筑|旅游,25,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,网络营销与直播电商,计算机|财经|学前教育|建筑|旅游,10,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,现代物流管理,计算机|财经|学前教育|建筑|旅游,10,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,旅游管理,计算机|财经|学前教育|建筑|旅游,8,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,建筑装饰工程技术,计算机|财经|学前教育|建筑|旅游,10,6500,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,建筑室内设计,计算机|财经|学前教育|建筑|旅游,20,6500,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,建筑智能化工程技术,计算机|财经|学前教育|建筑|旅游,10,6500,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,工程造价,计算机|财经|学前教育|建筑|旅游,10,6500,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17105,公办,襄阳,服装与服饰设计,计算机|财经|学前教育|建筑|旅游,10,6500,否,,(办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17106,公办,襄阳,口腔医学,其他,45,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,临床医学,护理,22,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,中医学,护理,15,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,中药学,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,医学检验技术,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,医学影像技术,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,康复治疗技术,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,护理,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17107,公办,襄阳,药学,护理,5,5000,否,,(办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17108,公办,襄阳,机械制造及自动化,机械,60,5000,是,武汉轻工大学,(专本联合培养计划；与武汉轻工大学联合培养；办学地点：隆中路校区)
2026,历史,C171,襄阳职业技术大学,C17109,公办,襄阳,现代农业技术,其他,25,5000,是,湖北工程学院,(专本联合培养计划；与湖北工程学院联合培养；办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17110,公办,襄阳,医学检验技术,其他,30,5000,是,湖北医药学院,(专本联合培养计划；与湖北医药学院联合培养；办学地点：高铁南路校区)
2026,历史,C171,襄阳职业技术大学,C17111,公办,襄阳,大数据与会计,财经,40,5000,是,湖北文理学院,(专本联合培养计划；与湖北文理学院联合培养；办学地点：高铁南路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,机械制造及自动化,机械,25,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,机电一体化技术,机械,30,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,智能控制技术,机械,10,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,工业机器人技术,机械,12,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,汽车制造与试验技术,机械,15,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,新能源汽车技术,机械,25,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,智能网联汽车技术,机械,20,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,汽车检测与维修技术,机械,15,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17112,公办,襄阳,低空飞行器装备技术,机械,20,5000,否,,(办学地点：隆中路校区)
2026,物理,C171,襄阳职业技术大学,C17113,公办,襄阳,畜牧兽医,其他,30,5000,否,,(办学地点：高铁南路校区)
2026,物理,C171,襄阳职业技术大学,C17113,公办,襄阳,动物医学,其他,12,5000,否,,(办学地点：高铁南路校区)
2026,物理,C171,襄阳职业技术大学,C17113,公办,襄阳,现代农业技术,其他,25,5000,否,,(办学地点：高铁南路校区)
2026,物理,C171,襄阳职业技术大学,C17113,公办,襄阳,食品检验检测技术,其他,12,5000,否,,(办学地点：高铁南路校区)
2026,物理,C171,襄阳职业技术大学,C17113,公办,襄阳,园林工程技术,建筑,8,5000,否,,(办学地点：高铁南路校区)
